;Year_Birth;Education;Marital_Status;Income;Dt_Customer;Recency;MntWines;MntFruits;MntMeatProducts;MntFishProducts;MntSweetProducts;MntGoldProds;NumDealsPurchases;NumWebPurchases;NumCatalogPurchases;NumStorePurchases;NumWebVisitsMonth;AcceptedCmp3;AcceptedCmp4;AcceptedCmp5;AcceptedCmp1;AcceptedCmp2;Complain;Response;Expenditure;Household Size;year_birth_check;Is_Parent
15;The Baby Boomer Generation;PhD;Single;82800.0;582;23;6.913737350659685;3.091042453358316;4.74493212836325;4.07753744390572;4.219507705176107;3.8066624897703196;0.0;1.9459101490553132;1.791759469228055;12;1.0986122886681098;no;no;yes;yes;no;no;yes;1315;1;749;yes
16;Generation X;Graduation;Married;41850.0;552;51;3.970291913552122;1.6094379124341003;2.9444389791664403;0.6931471805599453;2.5649493574615367;1.3862943611198906;1.0986122886681098;1.0986122886681098;0.0;3;2.0794415416798357;no;no;no;no;no;no;no;96;4;1060;no
17;The Baby Boomer Generation;Graduation;Together;37760.0;667;20;4.430816798843313;1.6094379124341003;3.6375861597263857;5.0106352940962555;2.4849066497880004;3.332204510175204;0.6931471805599453;1.3862943611198906;0.0;6;1.9459101490553132;no;no;no;no;no;no;no;317;2;749;yes
18;The Baby Boomer Generation;Master;Married;76995.0;458;91;6.919683849847411;4.382026634673881;6.210600077024653;0.0;2.772588722239781;5.170483995038151;0.6931471805599453;2.3978952727983707;1.3862943611198906;9;1.6094379124341003;no;no;no;yes;no;no;no;1782;3;749;no
19;Millennials;2nd_Cycle;Single;33812.0;603;86;1.3862943611198906;2.833213344056216;2.9444389791664403;3.4011973816621555;3.1780538303479458;3.6635616461296463;0.6931471805599453;0.6931471805599453;0.0;3;1.791759469228055;no;no;no;no;no;no;no;133;2;380;no
20;Millennials;Graduation;Married;37040.0;690;41;4.454347296253507;0.6931471805599453;4.290459441148391;4.23410650459726;3.6375861597263857;3.871201010907891;0.0;1.3862943611198906;0.6931471805599453;5;2.0794415416798357;no;no;no;no;no;no;no;316;2;380;yes
21;Generation X;Graduation;Married;2447.0;539;42;0.0;0.0;7.45298232946546;0.0;0.0;0.0;2.70805020110221;0.0;3.332204510175204;0;0.0;no;no;no;no;no;no;no;1730;3;1060;no
22;The Baby Boomer Generation;PhD;Married;58607.0;553;63;6.7650389767805414;0.0;4.454347296253507;0.0;0.0;2.9444389791664403;1.0986122886681098;0.6931471805599453;1.0986122886681098;9;2.0794415416798357;no;yes;no;no;no;no;no;972;3;749;no
23;The Baby Boomer Generation;PhD;Married;65324.0;169;0;5.950642552587727;0.0;4.624972813284271;3.044522437723423;3.4657359027997265;1.6094379124341003;1.0986122886681098;1.791759469228055;0.6931471805599453;9;1.3862943611198906;no;no;no;no;no;no;no;544;3;749;no
24;The Baby Boomer Generation;Graduation;Together;40689.0;468;69;5.598421958998375;1.0986122886681098;3.295836866004329;3.6635616461296463;1.791759469228055;4.59511985013459;1.9459101490553132;1.9459101490553132;0.0;5;2.0794415416798357;no;no;no;no;no;no;no;444;3;749;no
25;Generation X;Graduation;Single;18589.0;543;89;1.791759469228055;1.3862943611198906;3.2188758248682006;2.70805020110221;2.4849066497880004;2.5649493574615367;0.6931471805599453;0.6931471805599453;0.0;3;1.9459101490553132;no;no;no;no;no;no;no;75;1;1060;yes
26;Generation X;Graduation;Married;53359.0;398;4;5.153291594497779;1.3862943611198906;3.4011973816621555;1.0986122886681098;1.791759469228055;3.713572066704308;1.3862943611198906;1.6094379124341003;0.0;4;1.9459101490553132;no;no;no;no;no;no;no;257;4;1060;no
28;Millennials;Graduation;Married;38360.0;394;26;3.58351893845611;0.6931471805599453;3.7376696182833684;2.995732273553991;3.044522437723423;2.302585092994046;0.6931471805599453;0.6931471805599453;0.0;4;1.0986122886681098;no;no;no;no;no;no;no;131;3;380;no
29;Generation X;PhD;Married;84618.0;219;96;6.52795791762255;4.605170185988092;6.68586094706836;3.044522437723423;4.189654742026425;0.0;0.0;1.791759469228055;2.1972245773362196;10;0.6931471805599453;no;no;yes;no;no;no;no;1672;2;1060;yes
30;Millennials;Master;Divorced;10979.0;38;34;2.0794415416798357;1.3862943611198906;2.302585092994046;0.6931471805599453;0.6931471805599453;1.3862943611198906;0.6931471805599453;1.0986122886681098;0.0;3;1.6094379124341003;no;no;no;no;no;no;no;30;1;380;yes
31;The Baby Boomer Generation;Master;Together;38620.0;414;56;4.718498871295094;2.833213344056216;3.784189633918261;3.5263605246161616;3.091042453358316;4.48863636973214;0.0;0.6931471805599453;1.6094379124341003;3;1.0986122886681098;no;no;no;no;no;no;no;318;2;749;yes
32;Generation X;Graduation;Together;40548.0;627;31;4.700480365792417;0.0;1.6094379124341003;0.6931471805599453;0.0;1.0986122886681098;0.6931471805599453;0.6931471805599453;0.0;4;1.6094379124341003;no;yes;no;no;no;no;no;120;3;1060;no
33;The Baby Boomer Generation;PhD;Divorced;46610.0;608;8;4.564348191467836;2.4849066497880004;4.564348191467836;3.4965075614664802;3.091042453358316;3.7612001156935624;1.791759469228055;1.3862943611198906;0.0;6;1.791759469228055;no;no;no;no;no;no;yes;302;3;749;no
34;The Baby Boomer Generation;Master;Married;68657.0;494;4;6.1779441140506;3.5263605246161616;6.154858094016418;4.77912349311153;4.219507705176107;3.091042453358316;0.0;1.0986122886681098;1.6094379124341003;9;1.9459101490553132;no;no;no;no;no;no;no;1196;2;749;yes
35;The Baby Boomer Generation;Master;Single;49389.0;304;55;3.6888794541139363;0.0;2.9444389791664403;0.6931471805599453;0.0;1.0986122886681098;0.0;0.6931471805599453;0.0;3;1.9459101490553132;no;no;no;no;no;no;no;65;3;749;no
36;Generation X;PhD;Married;67353.0;180;37;6.553933404025811;2.833213344056216;5.017279836814924;0.0;2.0794415416798357;3.5553480614894135;1.6094379124341003;1.6094379124341003;1.791759469228055;12;0.6931471805599453;no;no;no;no;no;no;no;913;3;1060;no
37;Generation X;2nd_Cycle;Married;23718.0;300;76;1.791759469228055;1.0986122886681098;2.6390573296152584;2.70805020110221;1.9459101490553132;3.58351893845611;1.0986122886681098;1.0986122886681098;0.0;2;1.9459101490553132;no;no;no;no;no;no;no;81;3;1060;no
38;Generation X;Graduation;Widow;42429.0;138;99;4.007333185232471;0.0;1.791759469228055;0.6931471805599453;0.0;1.3862943611198906;0.6931471805599453;0.0;0.0;3;1.6094379124341003;no;no;no;no;no;no;no;67;2;1060;no
39;The Silent Generation;PhD;Divorced;48948.0;513;53;6.07993319509559;2.0794415416798357;5.327876168789581;5.075173815233827;3.8918202981106265;3.7376696182833684;0.6931471805599453;1.9459101490553132;2.302585092994046;5;1.791759469228055;yes;no;no;no;no;no;yes;902;1;23;yes
40;Generation X;Graduation;Married;80011.0;426;3;6.042632833682381;4.330733340286331;6.284134161070802;4.406719247264253;5.181783550292085;4.624972813284271;0.6931471805599453;2.0794415416798357;1.791759469228055;5;1.3862943611198906;no;no;no;no;no;no;no;1395;3;1060;no
41;Millennials;Master;Married;20559.0;474;88;2.5649493574615367;0.0;3.367295829986474;1.0986122886681098;0.0;1.9459101490553132;0.6931471805599453;0.6931471805599453;0.0;3;2.0794415416798357;no;no;no;no;no;no;no;53;3;380;no
42;The Baby Boomer Generation;Graduation;Together;21994.0;552;4;2.1972245773362196;0.0;1.791759469228055;1.0986122886681098;0.0;1.0986122886681098;0.0;0.0;0.0;3;1.6094379124341003;no;no;no;no;no;no;no;22;3;749;no
44;Generation X;Master;Married;7500.0;270;19;1.0986122886681098;0.0;2.302585092994046;1.0986122886681098;0.6931471805599453;2.4849066497880004;1.0986122886681098;0.6931471805599453;0.0;3;1.6094379124341003;no;no;no;no;no;no;no;31;3;1060;no
45;Generation X;Graduation;Single;79941.0;1;72;4.812184355372417;5.099866427824199;5.583496308781699;5.424950017481403;3.4011973816621555;5.159055299214529;0.0;0.6931471805599453;1.3862943611198906;9;0.0;no;no;no;no;no;no;no;984;1;1060;yes
46;Millennials;2nd_Cycle;Married;7500.0;597;24;1.0986122886681098;2.8903717578961645;2.6390573296152584;2.70805020110221;3.091042453358316;3.912023005428146;1.0986122886681098;1.0986122886681098;0.0;3;2.1972245773362196;no;no;no;no;no;no;yes;122;2;380;yes
47;Generation X;Graduation;Together;41728.0;401;92;2.5649493574615367;1.791759469228055;2.70805020110221;1.0986122886681098;1.6094379124341003;2.5649493574615367;0.0;0.6931471805599453;0.0;2;2.302585092994046;no;no;no;no;no;no;no;55;3;1060;no
49;The Baby Boomer Generation;PhD;Married;72550.0;598;39;6.716594773520978;3.912023005428146;5.75890177387728;3.912023005428146;3.6375861597263857;3.6375861597263857;2.1972245773362196;1.6094379124341003;0.6931471805599453;12;2.0794415416798357;no;no;no;no;no;no;no;1319;4;749;no
50;The Baby Boomer Generation;Graduation;Widow;65486.0;48;29;5.501258210544727;2.9444389791664403;4.8283137373023015;3.6109179126442243;4.204692619390966;2.6390573296152584;0.0;1.3862943611198906;0.6931471805599453;10;0.6931471805599453;no;no;no;no;no;no;no;507;2;749;no
51;The Baby Boomer Generation;Master;Married;79143.0;687;2;6.476972362889683;3.6109179126442243;6.659293919683638;3.295836866004329;5.117993812416755;3.4657359027997265;0.0;1.791759469228055;2.1972245773362196;13;1.0986122886681098;no;no;no;no;no;no;no;1693;2;749;yes
52;Generation X;Graduation;Single;35790.0;543;54;2.4849066497880004;1.791759469228055;2.995732273553991;3.4011973816621555;0.0;1.0986122886681098;0.6931471805599453;0.6931471805599453;0.0;3;1.9459101490553132;no;no;no;no;no;no;no;72;2;1060;no
53;Generation X;Graduation;Divorced;82582.0;22;54;6.234410725718371;4.787491742782046;6.309918278226516;5.049856007249537;3.6888794541139363;5.484796933490655;0.0;1.3862943611198906;2.1972245773362196;7;0.0;yes;no;no;yes;no;no;yes;1617;1;1060;yes
54;Generation X;Graduation;Married;66373.0;382;57;5.793013608384144;2.1972245773362196;4.820281565605037;2.4849066497880004;3.1780538303479458;4.6913478822291435;1.9459101490553132;1.3862943611198906;0.6931471805599453;10;1.0986122886681098;no;no;no;no;no;no;no;606;4;1060;no
55;The Baby Boomer Generation;Master;Together;82384.0;587;55;6.891625897052253;3.9318256327243257;6.068425588244111;5.19295685089021;4.787491742782046;5.247024072160486;0.0;1.0986122886681098;2.302585092994046;13;0.0;no;no;yes;no;no;no;yes;1957;2;749;yes
56;Generation X;Graduation;Divorced;70287.0;453;30;5.68697535633982;3.5553480614894135;6.1779441140506;4.795790545596741;4.787491742782046;3.6888794541139363;0.0;1.6094379124341003;1.6094379124341003;10;1.0986122886681098;no;no;no;no;no;no;yes;1093;1;1060;yes
57;Millennials;Graduation;Single;27938.0;62;31;2.5649493574615367;0.0;2.0794415416798357;0.6931471805599453;0.0;1.6094379124341003;0.0;0.0;0.0;4;1.0986122886681098;no;no;no;no;no;no;no;29;2;380;no
59;Generation X;PhD;Married;55954.0;118;63;6.102558594613569;0.0;3.332204510175204;0.0;0.0;3.7612001156935624;1.0986122886681098;2.0794415416798357;0.6931471805599453;6;1.9459101490553132;no;no;no;no;no;no;no;518;3;1060;no
60;Millennials;Master;Single;75777.0;360;12;6.568077911411976;3.258096538021482;6.2878585601617845;4.23410650459726;2.5649493574615367;4.382026634673881;0.0;1.0986122886681098;1.791759469228055;11;0.0;no;yes;yes;no;no;no;yes;1438;1;380;yes
61;Generation X;Graduation;Together;66653.0;660;18;6.113682179832232;2.8903717578961645;4.624972813284271;2.772588722239781;2.8903717578961645;1.791759469228055;1.3862943611198906;1.3862943611198906;0.6931471805599453;12;1.0986122886681098;no;no;no;no;no;no;no;612;4;1060;no
62;The Baby Boomer Generation;Graduation;Single;61823.0;496;26;6.259581464064923;1.9459101490553132;4.897839799950911;3.6109179126442243;2.6390573296152584;5.1298987149230735;1.3862943611198906;2.0794415416798357;0.6931471805599453;10;1.9459101490553132;no;no;no;no;no;no;no;884;2;749;no
63;The Baby Boomer Generation;PhD;Widow;67680.0;383;8;6.302618975744905;0.0;3.871201010907891;0.0;1.791759469228055;1.791759469228055;0.0;1.9459101490553132;1.0986122886681098;8;1.6094379124341003;no;no;no;no;no;no;no;606;2;749;no
64;The Baby Boomer Generation;Graduation;Together;70666.0;205;29;5.986452005284438;3.6888794541139363;5.905361848054571;4.77912349311153;4.804021044733257;3.4011973816621555;0.0;1.9459101490553132;1.3862943611198906;4;1.3862943611198906;no;no;no;no;no;no;no;1076;2;749;yes
65;Generation X;Graduation;Married;25721.0;404;75;0.0;1.0986122886681098;1.791759469228055;1.0986122886681098;1.791759469228055;2.70805020110221;0.0;0.0;0.0;2;1.9459101490553132;no;no;no;no;no;no;yes;34;3;1060;no
66;Generation X;Graduation;Together;32474.0;49;0;2.302585092994046;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2;1.9459101490553132;no;no;no;no;no;no;no;11;4;1060;no
67;Generation X;2nd_Cycle;Single;88194.0;102;19;6.5337888379333435;2.6390573296152584;5.733341276897746;5.303304908059076;3.1780538303479458;3.6375861597263857;0.0;2.3978952727983707;2.302585092994046;10;1.6094379124341003;yes;no;no;yes;no;no;yes;1274;2;1060;no
68;The Baby Boomer Generation;Graduation;Together;69096.0;275;4;5.5093883366279774;3.8918202981106265;5.0689042022202315;1.9459101490553132;4.406719247264253;4.6913478822291435;0.0;1.6094379124341003;0.6931471805599453;10;1.3862943611198906;no;no;no;no;no;no;no;653;3;749;no
69;Generation X;Graduation;Together;74854.0;447;90;6.752270376141742;4.07753744390572;6.18826412308259;4.060443010546419;3.367295829986474;4.290459441148391;1.9459101490553132;0.6931471805599453;1.6094379124341003;5;1.6094379124341003;no;no;no;no;no;no;no;1562;5;1060;no
70;The Baby Boomer Generation;Master;Married;66991.0;656;1;6.206575926724928;3.58351893845611;6.131226489483141;5.241747015059643;4.0943445622221;2.4849066497880004;1.0986122886681098;1.3862943611198906;2.0794415416798357;6;1.0986122886681098;no;no;no;no;no;no;no;1253;2;749;yes
72;The Baby Boomer Generation;Graduation;Married;65031.0;469;29;5.552959584921617;4.672828834461906;5.673323267171493;4.430816798843313;3.6109179126442243;4.454347296253507;1.3862943611198906;2.302585092994046;1.0986122886681098;13;1.9459101490553132;no;no;no;no;no;no;no;863;3;749;no
73;Generation X;PhD;Married;60631.0;450;88;6.336825731146441;1.791759469228055;4.174387269895637;0.0;1.791759469228055;2.9444389791664403;1.6094379124341003;2.1972245773362196;0.6931471805599453;8;1.9459101490553132;no;yes;no;no;no;no;no;661;4;1060;no
74;The Baby Boomer Generation;Graduation;Married;28332.0;60;58;2.6390573296152584;2.302585092994046;2.5649493574615367;1.3862943611198906;2.70805020110221;2.1972245773362196;0.0;0.6931471805599453;0.0;4;0.6931471805599453;no;no;no;no;no;no;no;65;2;749;yes
75;Generation X;Graduation;Divorced;40246.0;557;68;0.6931471805599453;0.0;1.791759469228055;0.6931471805599453;0.0;0.0;0.0;0.0;0.0;2;1.791759469228055;no;no;no;no;no;no;no;13;2;1060;no
76;Generation X;Master;Married;75251.0;671;34;6.580639137284949;4.709530201312334;6.829793737512425;4.574710978503383;2.8903717578961645;2.8903717578961645;0.0;1.9459101490553132;1.791759469228055;5;1.6094379124341003;no;no;no;no;no;no;yes;1890;2;1060;yes
77;Generation X;Graduation;Single;75825.0;625;40;6.939253946041508;4.653960350157523;6.658011045870748;4.919980925828125;4.653960350157523;3.9318256327243257;0.0;1.6094379124341003;2.0794415416798357;9;1.3862943611198906;yes;no;no;no;no;no;yes;2209;1;1060;yes
78;Generation X;2nd_Cycle;Together;26326.0;298;12;0.0;0.0;1.6094379124341003;0.0;1.0986122886681098;2.1972245773362196;0.0;0.0;0.0;3;1.0986122886681098;no;no;no;no;no;yes;no;18;2;1060;yes
79;Generation X;Graduation;Together;56046.0;543;9;6.3578422665081;0.0;4.1588830833596715;0.0;0.0;3.9318256327243257;0.6931471805599453;2.302585092994046;0.0;8;2.0794415416798357;yes;no;no;no;no;no;yes;692;2;1060;yes
80;Millennials;Graduation;Single;29760.0;669;87;4.1588830833596715;1.3862943611198906;4.219507705176107;1.9459101490553132;1.6094379124341003;2.833213344056216;1.3862943611198906;1.0986122886681098;0.0;4;2.0794415416798357;no;no;no;no;no;no;no;165;2;380;no
81;Generation X;Graduation;Married;26304.0;371;5;1.3862943611198906;0.0;1.6094379124341003;0.6931471805599453;0.0;1.3862943611198906;0.0;0.0;0.0;2;1.9459101490553132;no;no;no;no;no;no;no;16;3;1060;no
82;Generation X;2nd_Cycle;Married;23559.0;361;87;3.2188758248682006;1.6094379124341003;2.9444389791664403;1.9459101490553132;0.0;3.1354942159291497;1.0986122886681098;1.0986122886681098;0.0;3;1.9459101490553132;no;no;no;no;no;no;no;79;3;1060;no
83;The Baby Boomer Generation;Master;Together;38620.0;414;56;4.718498871295094;2.833213344056216;3.784189633918261;3.5263605246161616;3.091042453358316;4.48863636973214;0.0;0.6931471805599453;1.6094379124341003;3;1.0986122886681098;no;no;no;no;no;no;no;318;2;749;yes
84;Millennials;Graduation;Divorced;81361.0;124;18;5.093750200806762;3.1354942159291497;6.049733455231958;3.295836866004329;4.174387269895637;4.330733340286331;0.0;1.0986122886681098;2.302585092994046;13;0.0;no;no;no;no;no;no;no;778;1;380;yes
85;The Baby Boomer Generation;Graduation;Married;29440.0;322;95;2.833213344056216;2.0794415416798357;2.6390573296152584;2.302585092994046;1.3862943611198906;1.0986122886681098;0.6931471805599453;0.0;0.0;4;1.9459101490553132;no;no;no;no;no;no;no;56;4;749;no
86;Generation X;Master;Married;36138.0;348;48;4.867534450455582;0.0;2.772588722239781;0.0;0.0;1.6094379124341003;1.6094379124341003;1.0986122886681098;0.0;4;1.9459101490553132;no;yes;no;no;no;no;no;151;4;1060;no
87;The Baby Boomer Generation;Graduation;Single;50388.0;32;3;5.676753802268282;1.791759469228055;3.6109179126442243;0.0;1.0986122886681098;3.5263605246161616;1.3862943611198906;1.791759469228055;0.0;6;1.9459101490553132;no;yes;no;yes;no;no;yes;372;2;749;no
88;Generation X;Graduation;Married;79593.0;48;70;5.857933154483459;4.0943445622221;6.342121418721152;4.700480365792417;4.890349128221754;4.976733742420574;0.0;1.6094379124341003;1.791759469228055;7;0.6931471805599453;no;no;yes;no;no;no;no;1366;2;1060;yes
89;Generation X;Graduation;Together;54178.0;159;79;4.90527477843843;2.1972245773362196;3.6635616461296463;1.3862943611198906;0.0;1.9459101490553132;0.0;0.6931471805599453;0.6931471805599453;5;0.6931471805599453;no;no;no;no;no;no;no;194;3;1060;no
93;Generation X;Master;Single;42394.0;98;69;2.70805020110221;0.6931471805599453;2.302585092994046;0.0;0.0;1.3862943611198906;0.0;0.0;0.0;3;1.9459101490553132;no;no;no;no;no;no;no;32;2;1060;no
94;Generation X;PhD;Married;23626.0;36;84;3.295836866004329;0.6931471805599453;2.6390573296152584;0.0;0.0;0.0;1.0986122886681098;1.0986122886681098;0.0;3;1.6094379124341003;no;no;no;no;no;no;no;43;3;1060;no
95;Millennials;Graduation;Married;30096.0;38;30;1.6094379124341003;1.0986122886681098;2.3978952727983707;2.4849066497880004;1.6094379124341003;2.1972245773362196;0.0;0.6931471805599453;0.0;3;1.791759469228055;no;no;no;no;no;no;no;45;3;380;no
96;The Baby Boomer Generation;Graduation;Widow;47916.0;584;72;6.22455842927536;0.0;3.258096538021482;0.0;0.0;4.31748811353631;1.6094379124341003;1.9459101490553132;1.3862943611198906;6;1.791759469228055;no;yes;no;no;no;no;no;606;2;749;no
97;Generation X;Graduation;Divorced;51813.0;444;37;3.9318256327243257;0.6931471805599453;1.9459101490553132;0.0;0.0;0.6931471805599453;0.6931471805599453;0.6931471805599453;0.0;3;1.9459101490553132;no;no;no;no;no;no;no;63;3;1060;no
98;The Baby Boomer Generation;2nd_Cycle;Married;78497.0;210;44;5.332718793265369;3.258096538021482;6.102558594613569;4.31748811353631;0.0;5.407171771460119;0.0;1.6094379124341003;1.9459101490553132;12;0.6931471805599453;no;no;no;yes;no;no;no;978;2;749;yes
99;Millennials;PhD;Married;50150.0;374;32;4.90527477843843;3.828641396489095;4.5217885770490405;4.174387269895637;4.110873864173311;2.3978952727983707;0.6931471805599453;1.6094379124341003;0.6931471805599453;7;1.6094379124341003;no;no;no;no;no;no;no;410;2;380;yes
100;The Baby Boomer Generation;2nd_Cycle;Single;47823.0;341;0;3.970291913552122;0.0;1.6094379124341003;0.6931471805599453;0.0;2.302585092994046;0.6931471805599453;0.6931471805599453;0.0;3;2.0794415416798357;no;no;no;no;no;no;no;72;2;749;no
101;The Baby Boomer Generation;PhD;Single;34554.0;91;43;3.713572066704308;0.0;1.791759469228055;0.6931471805599453;0.0;1.6094379124341003;0.6931471805599453;0.6931471805599453;0.0;3;1.791759469228055;no;no;no;no;no;no;no;55;2;749;no
102;Generation X;Graduation;Together;85693.0;435;59;5.955837369464831;5.147494476813453;5.209486152841421;5.220355825078324;4.882801922586371;4.709530201312334;0.6931471805599453;2.1972245773362196;1.6094379124341003;11;1.6094379124341003;no;no;no;no;no;no;no;1169;3;1060;no
103;The Silent Generation;PhD;Married;65846.0;408;68;6.331501849893691;4.394449154672439;5.62040086571715;4.382026634673881;3.6888794541139363;4.394449154672439;0.0;1.791759469228055;1.0986122886681098;6;1.3862943611198906;no;no;no;no;no;no;no;1120;2;23;yes
104;The Baby Boomer Generation;Graduation;Married;87195.0;52;35;5.37989735354046;4.330733340286331;6.536691597591305;3.912023005428146;3.258096538021482;3.6375861597263857;0.0;1.0986122886681098;2.3978952727983707;5;0.0;no;no;no;no;no;no;yes;1097;2;749;yes
105;Generation X;Basic;Together;24594.0;201;94;0.0;1.0986122886681098;1.791759469228055;2.302585092994046;0.0;2.1972245773362196;0.0;0.0;0.0;3;1.6094379124341003;no;no;no;no;no;no;no;29;3;1060;no
106;The Baby Boomer Generation;Graduation;Married;49096.0;278;15;4.969813299576001;0.0;3.4657359027997265;0.6931471805599453;0.0;1.9459101490553132;1.3862943611198906;1.3862943611198906;0.0;4;1.9459101490553132;no;no;no;no;no;no;no;187;4;749;no
107;Generation X;Graduation;Married;52413.0;512;56;5.68697535633982;4.663439094112067;5.602118820879701;4.31748811353631;4.584967478670572;4.174387269895637;1.3862943611198906;1.791759469228055;1.3862943611198906;12;1.791759469228055;no;no;no;no;no;no;no;910;4;1060;no
108;Generation X;Graduation;Single;38557.0;557;17;4.330733340286331;1.0986122886681098;3.4339872044851463;1.3862943611198906;1.3862943611198906;3.295836866004329;0.6931471805599453;1.0986122886681098;0.0;3;1.9459101490553132;no;no;no;no;no;no;no;145;2;1060;no
109;The Baby Boomer Generation;Master;Married;89058.0;569;18;6.118097198041348;5.267858159063328;4.663439094112067;3.4339872044851463;3.091042453358316;3.7612001156935624;0.0;1.6094379124341003;1.3862943611198906;4;0.6931471805599453;no;no;no;no;no;no;no;850;2;749;yes
110;Generation X;Graduation;Together;77298.0;239;46;6.052089168924417;4.74493212836325;5.676753802268282;3.1354942159291497;3.5553480614894135;4.3694478524670215;0.0;1.791759469228055;1.791759469228055;11;1.0986122886681098;no;no;no;no;no;no;no;969;3;1060;no
111;Millennials;PhD;Single;68126.0;596;40;7.194436851100335;2.833213344056216;5.739792912179234;3.1354942159291497;3.9318256327243257;4.454347296253507;0.0;1.9459101490553132;1.3862943611198906;5;2.1972245773362196;no;yes;no;no;no;no;yes;1820;1;380;yes
112;The Baby Boomer Generation;Master;Together;57288.0;4;27;6.267200548541362;0.0;3.044522437723423;0.0;0.0;4.0943445622221;1.0986122886681098;2.0794415416798357;0.0;8;1.791759469228055;no;yes;no;no;no;no;no;608;3;749;no
113;Millennials;Graduation;Single;86037.0;543;95;6.194405391104672;3.784189633918261;4.8283137373023015;3.367295829986474;2.995732273553991;3.091042453358316;0.0;1.791759469228055;1.9459101490553132;11;1.0986122886681098;no;yes;yes;no;no;no;yes;730;1;380;yes
